Date,Durée (heures),Distance (km),Dénivelé (m),FC Moyenne (bpm),VFC (ms),Sommeil (h),Qualité Sommeil (1-10),Nutrition (1-10),Hydratation (L),PF Calculé
01/09/2024,1.5,15,300,150,45,7,8,7,2,0.507
02/09/2024,2.0,20,400,155,42,6.5,7,6,2.5,0.452
03/09/2024,1.0,10,150,145,50,8,9,8,2,0.620
04/09/2024,2.5,25,500,160,40,5.5,6,5,3,0.350
05/09/2024,1.8,18,350,148,47,7.2,7.5,7.5,2.2,0.525
06/09/2024,2.2,22,450,158,43,6.8,7,6.5,2.7,0.420
07/09/2024,1.3,13,200,148,46,7.5,8,7,2,0.535
08/09/2024,2.1,21,420,157,41,6.6,6.5,6,2.6,0.400
09/09/2024,1.6,16,320,152,44,7.1,7.2,7,2.1,0.490
10/09/2024,2.3,23,480,159,39,5.8,6,5.5,3,0.330

