Date,Durée (heures),Distance (km),Dénivelé (m),FC Moyenne (bpm),VFC (ms),Sommeil (h),Qualité Sommeil (1-10),Nutrition (1-10),Hydratation (L),PF Calculé
2024-09-01,1.5,15,300,150,45,7.0,8.0,7.0,2.0,0.5505194805194805
2024-09-02,2.0,20,400,155,42,6.5,7.0,6.0,2.5,0.39525974025974003
2024-09-03,1.0,10,150,145,50,8.0,9.0,8.0,2.0,0.8
2024-09-04,2.5,25,500,160,40,5.5,6.0,5.0,3.0,0.21818181818181825
2024-09-05,1.8,18,350,148,47,7.2,7.5,7.5,2.2,0.6666926406926403
2024-09-06,2.2,22,450,158,43,6.8,7.0,6.5,2.7,0.4445844155844155
2024-09-07,1.3,13,200,148,46,7.5,8.0,7.0,2.0,0.6077489177489175
2024-09-08,2.1,21,420,157,41,6.6,6.5,6.0,2.6,0.35626839826839823
2024-09-09,1.6,16,320,152,44,7.1,7.2,7.0,2.1,0.5015281385281385
2024-09-10,2.3,23,480,159,39,5.8,6.0,5.5,3.0,0.23780952380952372
